instrument,collection,technique,dynamic,midi,note,metric,value,ci_low,ci_high,corpus_id,is_ordinario
Violin,paired_lab,ordinario,f,55,N55,EWSD_score_acoustic_balanced,11.2,10.1,12.3,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,55,N55,EWSD_score_acoustic_balanced,9.3,8.4,10.2,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,58,N58,EWSD_score_acoustic_balanced,11.5,10.4,12.6,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,58,N58,EWSD_score_acoustic_balanced,9.5,8.6,10.4,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,61,N61,EWSD_score_acoustic_balanced,11.8,10.6,13.0,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,61,N61,EWSD_score_acoustic_balanced,9.7,8.7,10.7,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,64,N64,EWSD_score_acoustic_balanced,12.1,10.9,13.3,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,64,N64,EWSD_score_acoustic_balanced,9.9,8.9,10.9,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,67,N67,EWSD_score_acoustic_balanced,12.4,11.2,13.6,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,67,N67,EWSD_score_acoustic_balanced,10.1,9.1,11.1,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,70,N70,EWSD_score_acoustic_balanced,12.7,11.4,14.0,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,70,N70,EWSD_score_acoustic_balanced,10.3,9.3,11.3,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,73,N73,EWSD_score_acoustic_balanced,13.0,11.7,14.3,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,73,N73,EWSD_score_acoustic_balanced,10.6,9.5,11.7,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,76,N76,EWSD_score_acoustic_balanced,13.3,12.0,14.6,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,76,N76,EWSD_score_acoustic_balanced,10.8,9.7,11.9,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,79,N79,EWSD_score_acoustic_balanced,13.6,12.2,15.0,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,79,N79,EWSD_score_acoustic_balanced,11.0,9.9,12.1,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,82,N82,EWSD_score_acoustic_balanced,13.9,12.5,15.3,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,82,N82,EWSD_score_acoustic_balanced,11.2,10.1,12.3,Violin|paired_lab,False
Violin,paired_lab,ordinario,f,85,N85,EWSD_score_acoustic_balanced,14.2,12.8,15.6,Violin|paired_lab,True
Violin,paired_lab,con_sordino,f,85,N85,EWSD_score_acoustic_balanced,11.4,10.3,12.5,Violin|paired_lab,False
Violin,paired_lab,ordinario,mf,60,N60m,EWSD_score_acoustic_balanced,10.5,9.5,11.5,Violin|paired_lab,True
Violin,paired_lab,con_sordino,mf,60,N60m,EWSD_score_acoustic_balanced,8.8,7.9,9.7,Violin|paired_lab,False
Violin,paired_lab,ordinario,mf,72,N72m,EWSD_score_acoustic_balanced,11.8,10.6,13.0,Violin|paired_lab,True
Violin,paired_lab,con_sordino,mf,72,N72m,EWSD_score_acoustic_balanced,9.7,8.7,10.7,Violin|paired_lab,False
Violin,paired_lab,ordinario,ff,65,N65ff,EWSD_score_acoustic_balanced,14.0,12.6,15.4,Violin|paired_lab,True
Violin,paired_lab,con_sordino,ff,65,N65ff,EWSD_score_acoustic_balanced,11.5,10.4,12.6,Violin|paired_lab,False
Violin,paired_lab,ordinario,ff,80,N80ff,EWSD_score_acoustic_balanced,15.5,14.0,17.0,Violin|paired_lab,True
Violin,paired_lab,con_sordino,ff,80,N80ff,EWSD_score_acoustic_balanced,12.6,11.3,13.9,Violin|paired_lab,False
