instrument,collection,technique,dynamic,midi,note,register,metric,value,ci_low,ci_high,rel_uncertainty,source_file
Violin,_15_,ordinario,forte,55,G3,Middle,EWSD_score_acoustic_balanced,39.96080439189063,26.18218594008356,55.34579601577457,0.19131437909167,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,56,G#3,Middle,EWSD_score_acoustic_balanced,27.06568560063996,18.41749108291576,37.72983620400132,0.1914543054635684,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,57,A3,Middle,EWSD_score_acoustic_balanced,25.87967132246766,16.30994018559351,34.47646075448923,0.182174798704549,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,59,B3,Middle,EWSD_score_acoustic_balanced,22.76191227624023,17.09778655203649,36.41931049760151,0.2150588043019862,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,60,C4,High,EWSD_score_acoustic_balanced,18.58478144144211,11.97184802951205,26.86049345121548,0.2042433377678488,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,62,D4,High,EWSD_score_acoustic_balanced,27.22344099009994,18.41662028570853,36.7430070020262,0.1747799508928262,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,63,D#4,High,EWSD_score_acoustic_balanced,22.73012203119579,13.0686591285363,34.2294320227731,0.2472386796643337,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,65,F4,High,EWSD_score_acoustic_balanced,20.68041137357135,12.71562992166065,30.37716452987117,0.2349691612668561,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,66,F#4,High,EWSD_score_acoustic_balanced,20.94664039257693,12.15441406927355,31.81579774797656,0.2418973704246235,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,67,G4,High,EWSD_score_acoustic_balanced,21.29720317705536,12.15209435656804,33.67616135201566,0.2738751283850857,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,68,G#4,High,EWSD_score_acoustic_balanced,14.88792716564033,8.021820881902718,24.59789361423464,0.2889758431272416,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,70,A#4,High,EWSD_score_acoustic_balanced,12.47835872508512,5.632563923990576,19.85694373889837,0.2965888988330714,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,71,B4,High,EWSD_score_acoustic_balanced,16.87874173598012,9.030454733828243,26.99361382979106,0.2753660684384673,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,73,C#5,Very high,EWSD_score_acoustic_balanced,13.84909236552349,7.956909980411687,22.4451359684168,0.2687037199236977,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,74,D5,Very high,EWSD_score_acoustic_balanced,14.41869250214067,7.419692515339603,22.03693619888066,0.2568244755608797,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,75,D#5,Very high,EWSD_score_acoustic_balanced,14.30430233551317,7.397409150559233,22.94937589510927,0.2902412010846508,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,76,E5,Very high,EWSD_score_acoustic_balanced,16.57178877570338,8.321835579788328,26.5595589251186,0.2899259777463161,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,77,F5,Very high,EWSD_score_acoustic_balanced,12.88982772542349,6.360785811494127,22.21275476209125,0.321198853984743,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,78,F#5,Very high,EWSD_score_acoustic_balanced,16.45188864555401,8.600141998935241,24.87245997357744,0.2542995292992232,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,79,G5,Very high,EWSD_score_acoustic_balanced,13.63253591780684,8.669605008610228,23.33183803235292,0.2919918079371268,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,80,G#5,Very high,EWSD_score_acoustic_balanced,13.59628762811384,7.534034162276372,22.3152613199475,0.2802045027868089,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,81,A5,Very high,EWSD_score_acoustic_balanced,11.67598218599475,6.425257970020152,20.43110698886885,0.3247097427464709,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,82,A#5,Very high,EWSD_score_acoustic_balanced,9.671331678992107,4.837952765507096,18.60781806194522,0.3665244234749118,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,83,B5,Very high,EWSD_score_acoustic_balanced,9.469584955070363,4.230456420111865,17.26622556077578,0.3575525922960176,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,84,C6,Very high,EWSD_score_acoustic_balanced,7.673286946665871,4.080613727725843,15.36058713194829,0.390904240485051,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,85,C#6,Very high,EWSD_score_acoustic_balanced,9.096484998898395,3.607079424637441,17.27480726653132,0.3997665048793398,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,86,D6,Very high,EWSD_score_acoustic_balanced,11.68388870410698,4.897717408025542,20.21108199873217,0.3317233259903499,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,87,D#6,Very high,EWSD_score_acoustic_balanced,7.268868508813861,3.124672687440644,14.56721245342594,0.4204027964376907,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,88,E6,Very high,EWSD_score_acoustic_balanced,12.00989040593726,5.049676688346737,18.42021616952326,0.2839248825803731,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,89,F6,Very high,EWSD_score_acoustic_balanced,9.861837896163255,5.285601926672138,13.93796431818721,0.2381529420250194,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,90,F#6,Very high,EWSD_score_acoustic_balanced,6.69194933685426,3.593444041881499,11.11716049361134,0.2808361383211919,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,91,G6,Very high,EWSD_score_acoustic_balanced,9.201653797879214,4.180934176701094,11.89182314405175,0.2283003125019414,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,92,G#6,Very high,EWSD_score_acoustic_balanced,7.61993246349842,4.205832160568806,12.32639973201079,0.2962741383433532,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,93,A6,Very high,EWSD_score_acoustic_balanced,9.064409054544038,4.692907156302826,13.64919757032228,0.2562580780924967,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,94,A#6,Very high,EWSD_score_acoustic_balanced,6.829437887471071,3.605053218159912,11.95826531385806,0.3218291627647168,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,95,B6,Very high,EWSD_score_acoustic_balanced,7.441229486564398,4.475280086692108,11.64585185399389,0.2665798341866349,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,96,C7,Very high,EWSD_score_acoustic_balanced,5.989232619533158,3.4849273569724,10.55684308438784,0.3270514734904769,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,97,C#7,Very high,EWSD_score_acoustic_balanced,5.298065566739715,3.577476475909356,9.680904220666363,0.3067977415652755,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,98,D7,Very high,EWSD_score_acoustic_balanced,4.157963222573672,2.429718327742585,7.927645038090153,0.3676020476226549,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,99,D#7,Very high,EWSD_score_acoustic_balanced,3.871494465622697,2.049307814922107,8.95833745149862,0.478494378615698,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,100,E7,Very high,EWSD_score_acoustic_balanced,5.339108932550321,2.866598642558629,9.88161354642847,0.3923887434269085,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,101,F7,Very high,EWSD_score_acoustic_balanced,5.506147900024404,2.630365172224181,9.658673325711996,0.3530229466869773,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,102,F#7,Very high,EWSD_score_acoustic_balanced,5.258238633755285,2.974782264494749,8.632295922211382,0.3259677411652308,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,forte,103,G7,Very high,EWSD_score_acoustic_balanced,5.639682477428934,2.995053358777189,7.599036086554064,0.2313598414387499,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_forte\_Sustains\analysis_results\Arco_Normal_forte.xlsx
Violin,_15_,ordinario,fortissimo,55,G3,Middle,EWSD_score_acoustic_balanced,42.85184376045633,28.55140690755188,60.38805703870317,0.1887862267293258,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,56,G#3,Middle,EWSD_score_acoustic_balanced,23.80678812924011,19.71309683770729,38.4730208054777,0.2032049530346499,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
Violin,_15_,ordinario,fortissimo,57,A3,Middle,EWSD_score_acoustic_balanced,20.05222858270007,14.34354774946639,30.3212536425644,0.2100916925896235,C:\Users\lmr20\Desktop\Strings\Strings\violin\_15_\Arco_Normal_fortissimo\_Sustains\analysis_results\Arco_Normal_fortissimo.xlsx
